name,cpf,score
EMILY RUSSELL,01236875435,86.16
CLARENCE ELLIS,01236745817,98.51
MICHELLE PARKER,01235864707,78.68
FRANCES JOHNSON,01235847608,98.31
ROY DANIELS,01235684717,76.76
ANDREW JORDAN,01235648753,95.1
CHERYL HUGHES,01235476871,78.99
EDWARD REID,01234758644,91.02
MICHELLE BANKS,01234685744,73.66
JOHN SMITH,17842211711,99.77
BILLY BUTLER,01243678526,86.79
BONNIE HOLMES,01243675853,78.72
EDWARD JACKSON,01238765408,72.59
JANE BISHOP,01238674526,76.96
RONALD ROBERTSON,01238475671,78.77
VICTOR PERRY,01237864526,86.76
SCOTT GRAY,01237684544,76.68
VIRGINIA STANLEY,01237586453,94.31
CHERYL MORGAN,01237584671,89.41
GEORGE GREEN,01237465826,99.63
BONNIE RAMOS,01246753871,94.61
RANDY JOHNSON,01246573890,85.35
JOYCE LEE,01246538717,96.21
KIMBERLY EVANS,01245867326,73.87
LORI HUGHES,01245836790,93.69
JIMMY STANLEY,01245637835,90.43
KATHY THOMPSON,01243876590,85.45
ROGER KIM,01243875607,79.14
MARIE PATTERSON,01243785608,77.7
DORIS HOWELL,01243758635,97.97
JOHN BAILEY,01254678344,98.99
JANICE PIERCE,01253846707,81.42
ANDREA WASHINGTON,01253476853,97.34
LOIS BARNES,01248576390,88.16
STEVEN HART,01248536762,71.98
STEVEN MONTGOMERY,01248367553,84.89
HENRY FOX,01247853608,94.25
EMILY HENRY,01247683508,95.59
JANE WOOD,01247563871,70.76
JUAN RUIZ,01246783517,71.64
ANTONIO FIELDS,01258364735,99.37
JAMES YOUNG,01257864335,89.91
AMY PHILLIPS,01257346890,78.75
LISA FERGUSON,01256834726,79.15
BEVERLY HILL,01256783471,75.68
BEVERLY SCOTT,01256487317,82.38
STEVEN CARR,01256438707,73.17
MARILYN FISHER,01254736808,71.99
VICTOR EDWARDS,01254687335,95.73
SUSAN COLEMAN,01254683771,94.93
SANDRA LOPEZ,01265734844,84.5
ANTHONY RICE,01265487308,70.86
ADAM BENNETT,01265348707,83.29
LISA ALEXANDER,01264738544,98.62
ROGER LARSON,01264735871,74.98
KATHLEEN WELCH,01264385790,73.53
CHRISTINE JACOBS,01264357826,79.29
EARL REED,01263587453,87.49
CLARENCE HARRIS,01263478590,74.03
MARIA HARVEY,01263457835,72.02
LORI GONZALES,01274358671,76.55
NICHOLAS FULLER,01273846508,76.93
ERNEST JORDAN,01273468562,73.81
LARRY HANSEN,01268753408,86.57
ROY MORRIS,01268734535,77.01
DEBRA MORRISON,01268453790,74.66
CHERYL WILLIS,01268437590,73.37
EMILY BOWMAN,01268347507,85.76
DONNA HALL,01267584335,77.82
JACQUELINE FIELDS,01265738408,90.96
SARAH HOWARD,01278643508,74.88
RUTH PRICE,01278453644,90.57
JEREMY WILSON,01278346562,71.1
JAMES MASON,01276835426,73.44
JACQUELINE HANSEN,01276458371,99.66
HEATHER HOLMES,01276354835,79.95
THERESA GONZALES,01274865344,77.54
RANDY GEORGE,01274583608,93.21
JOE DAVIS,01274538653,92.99
JEFFREY ROSS,01274386535,70.39
BONNIE MOORE,01287465307,77.48
JONATHAN TORRES,01286745390,88.72
PAUL JOHNSTON,01286537444,97.97
MILDRED RIVERA,01286453771,90.98
WAYNE SANDERS,01285734653,76.59
ERIC STEPHENS,01285346726,73.83
KEVIN SANDERS,01284637590,89.93
HAROLD MARTIN,01283746590,78.56
IRENE HANSEN,01283745607,85.76
NICOLE REYNOLDS,01283476517,70.7
CYNTHIA RUSSELL,01327568462,79.21
CYNTHIA SCHMIDT,01327468590,77.2
KELLY BAKER,01327465817,92.05
RONALD RODRIGUEZ,01326548735,77.63
RUTH RICHARDS,01326458744,84.27
NANCY GARCIA,01325847607,89.61
JANE BOYD,01325687480,72.66
NORMA HOWELL,01324675853,95.71
ANTONIO PETERS,01324568771,91.65
SHIRLEY BARNES,01287634508,72.7
JANET MATTHEWS,01346278571,88.89
FRANCES OLIVER,01346275807,89.36
PHILIP BURTON,01345862717,80.05
RUSSELL STONE,01345268726,78.53
ROSE CARR,01342658744,99.47
JONATHAN COX,01328674517,90.07
BILLY LYNCH,01328547671,82.9
JEREMY YOUNG,01328546780,95.3
RAYMOND GARRETT,01328457680,98.91
BENJAMIN HAYES,01327684535,78.13
LOUISE SMITH,01354628780,81.42
GREGORY BLACK,01352674807,89.5
JACK BOYD,01352467844,94.1
EUGENE GIBSON,01348725680,81.56
NORMA MATTHEWS,01348627590,84.28
CHRIS STANLEY,01347526862,99.88
KELLY WALLACE,01346825726,89
DOUGLAS LAWSON,01346752826,97.25
CHRISTINE JACKSON,01346728526,92.38
CAROL PRICE,01346578290,77.39
KATHRYN MATTHEWS,01357264844,71.18
JOSHUA RIVERA,01357248644,73.25
ROY BOWMAN,01356784208,74.09
KAREN WILLIS,01356748244,87.8
